,Total Ballots Cast,United States President,,,,,,"United States President, Continued",,,United States Representative,,,,,,,,,
,,"Donald J. Trump and
Michael R. Pence (R) ","Hillary Clinton and
Tim Kaine (D)","Gary Johnson and
Bill Weld (L)","Darrell Castle and
Scott Bradley (C) ","""Rocky"" Roque De La Fuente and
Michael Steinberg (I)","Jill Stein and
Ajamu Baraka (I)",Write-Ins,Over Votes,Under Votes,"Liz
Cheney (R) ","Ryan
Greene (D)","Lawrence Gerard
Struempf (L)","Daniel Clyde
Cummings (C) ",Write-Ins,Over Votes,Under Votes,,,
South Lincoln Training Ctr. 1-1, 360 ,276,44,19,6,0,0,6,1,8,228,100,7,14,1,0,10,,,
South Lincoln Training Ctr. 1-2, 376 ,275,60,20,0,2,2,13,1,3,229,100,15,17,1,4,10,,,
South Lincoln Training  Ctr. 1-3, 512 ,401,59,17,9,0,1,20,0,5,347,120,9,18,1,3,14, ,,
Diamondville School Admin Bldg 1-4, 325 ,237,49,17,5,1,1,8,1,6,212,83,8,8,1,4,9,,,
South Lincoln Training Ctr. 1-6, 142 ,116,16,5,1,0,2,0,0,2,98,35,0,6,2,0,1,,,
Opal Town Hall 1-7, 73 ,67,5,0,0,0,1,0,0,0,56,9,3,2,1,0,2,,,
LaBarge Town Hall 1-8, 340 ,304,16,9,3,0,0,7,0,1,268,34,8,21,1,2,6,,,
Afton Civic Center 2-1, 884 ,661,66,30,19,5,12,82,2,7,664,102,24,61,4,10,19,,,
Afton Civic Center 2-2, 288 ,234,17,9,6,1,0,19,0,2,233,21,7,12,3,4,8,,,
Alpine Civic Center 2-3, 864 ,541,228,48,6,1,12,23,3,2,513,258,34,30,0,7,22,,,
Bedford Water & Sewer Bldg. 2-4, 472 ,366,42,18,4,2,0,35,0,5,382,48,11,19,0,1,11,,,
Star Valley Comm. Complex 2-5, 794 ,611,92,20,10,1,5,46,0,9,587,121,16,54,3,3,10,,,
Afton Civic Center 2-6, 542 ,417,38,22,8,3,0,47,0,7,433,54,18,24,2,3,8,,,
Afton Civic Center 2-7," 1,053 ",843,58,37,16,1,7,82,1,8,838,106,24,57,3,7,18,,,
Thayne Town Hall 2-8, 536 ,426,50,14,5,1,0,34,0,6,423,50,14,31,1,5,12,,,
Cokeville Town Hall 2-9, 355 ,301,11,6,5,0,2,23,0,7,301,26,0,18,0,0,10,,,
Star Valley Ranch Town Hall 2-10," 1,054 ",703,254,40,9,5,3,32,0,8,699,265,26,32,1,10,21,,,
Total,8970,6779,1105,331,112,23,48,477,9,86,6511,1532,224,424,25,63,191,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
